cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,1846.0,172.25483399593904,22.32015167930661,25.409534127843987,0.6190852688028008,0.9540051679586563,0.8226381461675579,56.22109743685256,44.15176441544612,-0.6243806470969689,48.48092614194896,1935.0,1846.0,1,62.625873247404705,3,1,1,0,0,0,0,2
2,1716.0,181.118795026618,72.07342657342657,18.715034965034967,0.8378622030414213,0.896551724137931,0.7055921052631579,65.84556962443756,35.9438974138349,-1.364087385450857,46.74268989655537,1914.0,1716.0,1,66.21933252457322,5,2,1,0,0,0,0,3
3,1590.0,157.15432893255073,164.71006289308175,25.6937106918239,0.7019513616729439,0.9578313253012049,0.7681159420289855,53.793127906949344,38.31280430077054,-0.5394031509420412,44.99389820996741,1660.0,1590.0,1,57.38466694161429,5,2,0,0,0,0,0,2
4,3329.0,246.50966799187808,214.23820967257436,29.475518173625712,0.8259716263967382,0.9009472259810555,0.6501953125,89.47494260599075,50.43807134278787,-1.1276455852548983,65.10464226476755,3695.0,3329.0,1,92.45539465060976,7,1,0,0,0,0,0,1
5,138.0,56.00609665440988,261.8188405797101,6.731884057971015,0.9310382866093264,0.8518518518518519,0.575,22.962894500784316,8.379654147998787,-1.4415937989088985,13.255453865237978,162.0,138.0,1,24.08318915758459,2,0,0,0,0,0,0,0
6,2369.0,196.71067811865476,423.2363866610384,26.454200084423807,0.6315167862095126,0.9290196078431373,0.7641935483870967,63.565544748833126,49.286320930002326,-1.2950659792234505,54.9208929413716,2550.0,2369.0,1,68.8839603971781,5,1,0,0,0,0,0,1
7,1972.0,178.71067811865476,583.8387423935092,26.775862068965516,0.45981560944348254,0.9453499520613614,0.7160493827160493,54.04941950564831,47.99666376708645,-0.03941305916386225,50.10816682156454,2086.0,1972.0,1,60.53924347066124,6,3,0,0,0,0,0,3
8,274.0,67.21320343559643,614.6313868613139,9.828467153284672,0.7476349470609737,0.9163879598662207,0.7007672634271099,23.805269061028948,15.809315333324511,-1.379146704614851,18.677998695187732,299.0,274.0,1,23.853720883753127,3,1,0,0,0,0,0,1
9,1138.0,144.65180361560905,649.7275922671354,23.194200351493848,0.9083671650804812,0.9652247667514843,0.5048802129547472,59.48946674629629,24.876919753083037,0.8211335733813627,38.065031221695,1179.0,1138.0,1,58.249463516842795,4,1,1,0,0,0,0,2
10,1564.0,160.8111831820431,709.1528132992328,30.91304347826087,0.8617382098009777,0.9478787878787879,0.7447619047619047,63.32297393099508,32.12711272219646,0.23364102131620548,44.62450725740055,1650.0,1564.0,1,62.96824596572466,6,2,0,0,0,0,0,2
