cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
19,2193.0,187.5746391493337,482.23392612859095,29.036935704514363,0.6634196963734547,0.944851357173632,0.7049180327868853,62.23570686452518,46.567711456928656,-0.22194387528883205,52.8414072636622,2321.0,2193.0,1,68.0,6,1,1,1,2,3,0,8
20,993.0,128.5269119345812,520.1278952668681,17.662638469284996,0.5699392301974303,0.9557266602502407,0.7454954954954955,40.585625882050486,33.34867494847015,-0.652461561467026,35.55737431141417,1039.0,993.0,1,46.75467891024384,4,0,2,0,1,0,0,3
21,797.0,117.9827560572969,550.0765370138017,16.17314930991217,0.827912270045363,0.9625603864734299,0.6037878787878788,43.857482679032756,24.597803479523158,-0.8758208117615494,31.85548488335917,828.0,797.0,1,46.87216658103186,3,0,3,1,1,0,0,5
23,288.0,72.31980515339464,586.3229166666666,9.8125,0.8640459892679063,0.9230769230769231,0.6050420168067226,27.566486638454148,13.877324448767975,-1.1075110381234958,19.149229459268767,312.0,288.0,1,30.463092423455635,3,0,1,1,0,0,0,2
24,748.0,108.22539674441617,608.8302139037434,19.71390374331551,0.7583086805662824,0.961439588688946,0.6393162393162393,39.056418953193614,25.460709814546234,0.4176262675374109,30.860706075232656,778.0,748.0,1,41.10960958218893,5,0,0,1,1,0,2,4
25,1668.0,170.56244584051393,656.4610311750599,27.37410071942446,0.6512794445518426,0.9084967320261438,0.7942857142857143,54.40833433980804,41.287110712496776,-0.11645581390694525,46.08430926701898,1836.0,1668.0,1,59.36328831862332,6,1,2,1,0,0,2,6
26,298.0,70.42031021678298,680.3624161073825,9.979865771812081,0.4079197462439766,0.952076677316294,0.6898148148148148,21.52893430978914,19.656299974680874,1.3552085345947151,19.47884453275087,313.0,298.0,1,24.186773244895647,3,0,0,1,0,0,0,1
27,678.0,105.25483399593904,700.5545722713864,17.079646017699115,0.5503190394201077,0.9237057220708447,0.6834677419354839,32.745337441573994,27.340865630814285,-0.31603062818950844,29.381225490616288,734.0,678.0,1,36.71511950137164,4,0,2,2,0,0,0,4
28,891.0,113.25483399593904,727.5600448933782,17.113355780022445,0.6315482614529189,0.9791208791208791,0.7707612456747405,38.87223162348011,30.139062651879463,-0.8710310236845747,33.681692866586,910.0,891.0,1,40.496913462633174,4,1,3,0,0,0,0,4
29,909.0,123.25483399593904,765.7799779977997,13.324532453245325,0.852731340561004,0.9629237288135594,0.7575,47.9297079813874,25.036070958709896,-1.5333641329368453,34.02021084832166,944.0,909.0,1,48.83646178829912,5,1,1,3,0,0,0,5
30,143.0,53.00609665440988,794.9090909090909,6.265734265734266,0.902935966642765,0.9407894736842105,0.65,21.651610767604943,9.305323272555679,-1.568880172433619,13.493452297211721,152.0,143.0,1,22.20360331117452,3,0,0,2,0,0,0,2
31,321.0,83.69848480983501,821.6542056074767,8.299065420560748,0.9360736062825304,0.8916666666666667,0.6743697478991597,35.86103824212011,12.616064302323748,1.5694606452383715,20.216574731145414,360.0,321.0,1,34.36568055487916,4,1,0,0,0,0,0,1
32,198.0,64.79898987322332,850.7777777777778,6.828282828282828,0.9332993710399552,0.9209302325581395,0.7071428571428572,27.33157284750805,9.814747792869179,1.5675121905412635,15.877702285203682,215.0,198.0,1,28.160255680657446,2,0,0,0,0,0,0,0
33,1871.0,186.36753236814712,939.0796365579904,27.515766969535008,0.6177242424180077,0.8738907052779075,0.6158657011191574,57.55119310887725,45.25795822114169,-0.14044524609025294,48.80810576327963,2141.0,1871.0,1,64.8459713474939,5,0,2,1,2,0,0,5
34,383.0,78.04163056034261,967.5378590078329,11.921671018276763,0.6591112208157314,0.948019801980198,0.7253787878787878,26.146935961470216,19.663684911910842,0.8004191673050944,22.082815618339236,404.0,383.0,1,29.410882339705484,3,0,0,1,0,0,0,1
35,664.0,101.45584412271572,992.9518072289156,13.328313253012048,0.6658356516813265,0.9609261939218524,0.7980769230769231,34.205968530872184,25.521019823291823,1.4511798703516952,29.076297180076903,691.0,664.0,1,36.71511950137164,4,2,0,0,1,0,0,3
36,255.0,69.21320343559643,1015.4156862745098,10.392156862745098,0.7533171687008497,0.9074733096085409,0.6071428571428571,24.120378184240973,15.862944975644549,-0.6044628774427899,18.01877032173579,281.0,255.0,1,26.90724809414742,3,1,0,1,2,0,0,4
37,426.0,81.25483399593904,1029.044600938967,15.7018779342723,0.7298459944148113,0.9487750556792873,0.6301775147928994,28.555941335483272,19.52117284573511,-0.6325309745322583,23.28948359361322,449.0,426.0,1,29.732137494637012,4,1,0,2,2,0,0,5
38,136.0,46.7634559672906,1045.6544117647059,6.860294117647059,0.764193126205882,0.9444444444444444,0.6868686868686869,17.065064712133136,11.006753303032761,-1.4200954900677234,13.159049284959082,144.0,136.0,1,18.24828759089466,3,0,0,1,1,0,0,2
39,925.0,127.84062043356595,1066.3027027027026,21.0,0.8042104965444392,0.928714859437751,0.6851851851851852,46.23047718172445,27.476833445467065,0.08456907093537223,34.318312587888485,996.0,925.0,1,47.43416490252569,5,1,2,3,2,0,0,8
40,932.0,125.35533905932736,1091.359442060086,19.069742489270386,0.7713895084059874,0.9433198380566802,0.728125,44.73548599213841,28.468020675286482,-0.5097970458770992,34.44792091974742,988.0,932.0,1,47.634021455258214,4,2,1,1,1,0,0,5
41,515.0,98.87005768508881,1123.8951456310679,10.376699029126213,0.8840848440076331,0.9229390681003584,0.6812169312169312,39.079070159519084,18.262682195660236,-1.336800408872282,25.60699837034026,558.0,515.0,1,39.395431207184416,4,0,0,1,0,0,0,1
42,865.0,116.76955262170047,1156.8658959537572,19.604624277456647,0.7057800818473088,0.9505494505494505,0.7587719298245614,40.0555502654672,28.37659336915948,0.3318329751330116,33.186626918021,910.0,865.0,1,42.5440947723653,6,0,2,0,1,0,0,3
